Epoch,MRAD,Exploitability
300,1.0389559268951416,0.4913223534822464
400,1.0510549545288086,0.5046221017837524
500,1.0511711835861206,0.5047585070133209
600,1.051190733909607,0.5047802925109863
700,1.0511953830718994,0.5047856867313385
800,1.0511902570724487,0.5047798752784729
900,1.0511184930801392,0.5046989619731903
1000,1.0504907369613647,0.5040265917778015
1100,0.5970649719238281,0.2627521827816963
1200,0.6301868557929993,0.2744942344725132
1300,0.6636075377464294,0.2801750935614109
1400,0.29900744557380676,0.060848481953144073
1500,0.2586933672428131,0.04496118985116482
1600,0.24324864149093628,0.04172452259808779
1700,0.23076511919498444,0.03812432009726763
1800,0.22792883217334747,0.03629132639616728
1900,0.22695443034172058,0.03732187673449516
2000,0.1932472288608551,0.026751133613288403
2100,0.16981999576091766,0.020597646944224834
2200,0.16941127181053162,0.02010157471522689
2300,0.15125460922718048,0.015802365262061357
2400,0.1337490677833557,0.013023814652115107
2500,0.12436958402395248,0.011077459901571274
2600,0.12447928637266159,0.010834792163223028
2700,0.11795440316200256,0.009147934848442674
2800,0.13877113163471222,0.012264028191566467
2900,0.12701581418514252,0.010698459576815367
3000,0.1290619969367981,0.010951063595712185
3100,0.12257666140794754,0.009964762954041362
3200,0.1356089562177658,0.011867506429553032
3300,0.14335709810256958,0.013819022569805384
3400,0.1252967119216919,0.010761308018118143
3500,0.12291046977043152,0.010432446375489235
3600,0.13432686030864716,0.012042238842695951
3700,0.1246124804019928,0.010887413751333952
3800,0.13580691814422607,0.012911031488329172
3900,0.13141770660877228,0.011871575377881527
4000,0.1269238144159317,0.011278602760285139
4100,0.11750350892543793,0.010286082979291677
4200,0.12162274867296219,0.010805647354573011
4300,0.1154853105545044,0.00979980081319809
4400,0.10860704630613327,0.008724062237888575
4500,0.10461115837097168,0.008741769939661026
4600,0.11218834668397903,0.009596261661499739
4700,0.12169819325208664,0.010574332904070616
4800,0.10707276314496994,0.00864518852904439
4900,0.10381783545017242,0.008381439838558435
5000,0.11199038475751877,0.009353471454232931
5100,0.10243495553731918,0.007712910650297999
5200,0.09817197918891907,0.007452590158209205
5300,0.10409685224294662,0.008028068579733372
5400,0.09288380295038223,0.006321568740531802
5500,0.09955471009016037,0.007224671076983213
5600,0.09149425476789474,0.006182597018778324
5700,0.09921189397573471,0.006772603606805205
5800,0.09684596955776215,0.006499460199847817
5900,0.10606563091278076,0.007459028856828809
6000,0.08333916962146759,0.004860255285166204
6100,0.1035977452993393,0.006848132703453302
6200,0.09112264215946198,0.005714758997783065
6300,0.09437429159879684,0.005921238800510764
6400,0.1001904159784317,0.006553983082994819
6500,0.08463627845048904,0.005162166082300246
6600,0.09082936495542526,0.005483224987983704
6700,0.0872274860739708,0.00532377720810473
6800,0.09267071634531021,0.00590429175645113
6900,0.08040578663349152,0.0045810306910425425
7000,0.08350825309753418,0.004960922873578966
7100,0.08076567947864532,0.004639107151888311
7200,0.0833563283085823,0.005064422846771777
7300,0.08721118420362473,0.00520286220125854
7400,0.09001801162958145,0.0056724646128714085
7500,0.08331418037414551,0.0048366819974035025
7600,0.08853061497211456,0.005474093370139599
7700,0.08234035223722458,0.004798255627974868
7800,0.08253202587366104,0.004612915217876434
7900,0.08807802945375443,0.005252656410448253
