Epoch,MRAD,Exploitability
300,1.001853346824646,0.4560306668281555
400,1.0507616996765137,0.5043059587478638
500,1.0511202812194824,0.5046899914741516
600,1.0511894226074219,0.5047750771045685
700,1.0512020587921143,0.5047914981842041
800,1.0512152910232544,0.5048072934150696
900,1.0512158870697021,0.504808098077774
1000,1.0512056350708008,0.5047970712184906
1100,0.1074875220656395,0.010495448485016823
1200,0.17997635900974274,0.030270984396338463
1300,0.21121984720230103,0.048755891621112823
1400,0.20894908905029297,0.04460916668176651
1500,0.25342538952827454,0.059142570942640305
1600,0.24189046025276184,0.05312286876142025
1700,0.23949524760246277,0.049529070034623146
1800,0.2232637256383896,0.043710652738809586
1900,0.227242574095726,0.046787967905402184
2000,0.21390362083911896,0.04056919179856777
2100,0.2095445990562439,0.04073322005569935
2200,0.18370790779590607,0.03353145346045494
2300,0.17798317968845367,0.03148798272013664
2400,0.17069801688194275,0.03246200270950794
2500,0.14837603271007538,0.0267179599031806
2600,0.13196536898612976,0.023831047117710114
2700,0.13147029280662537,0.024206864181905985
2800,0.11360868066549301,0.019164026714861393
2900,0.11075875908136368,0.019997332245111465
3000,0.11277961730957031,0.01969342166557908
3100,0.1147519201040268,0.019959907978773117
3200,0.11827698349952698,0.019596420228481293
3300,0.10500887036323547,0.017071512527763844
3400,0.09902330487966537,0.014133176766335964
3500,0.09553156793117523,0.01424223743379116
3600,0.10025320202112198,0.015106658451259136
3700,0.09211120754480362,0.01318340189754963
3800,0.08870648592710495,0.011635931441560388
3900,0.08778390288352966,0.012085946975275874
4000,0.08915290236473083,0.013146951096132398
4100,0.0944749116897583,0.013693100772798061
4200,0.08860373497009277,0.01162481913343072
4300,0.08764518797397614,0.011293313233181834
4400,0.07980690896511078,0.009842608822509646
4500,0.08698973059654236,0.011699319817125797
4600,0.08991410583257675,0.011484521673992276
4700,0.08839330822229385,0.011650046799331903
4800,0.08204002678394318,0.01064046728424728
4900,0.09409114718437195,0.01221412606537342
5000,0.07447116822004318,0.009534167824313045
5100,0.08169413357973099,0.009855520445853472
5200,0.07189656049013138,0.00803172797895968
5300,0.0819430872797966,0.00956780998967588
5400,0.0796096995472908,0.009609271539375186
5500,0.07466118037700653,0.008413339965045452
5600,0.07366453856229782,0.008496045134961605
5700,0.08216609060764313,0.009188960073515773
5800,0.08144593238830566,0.009403448551893234
5900,0.07873232662677765,0.009463958442211151
6000,0.07183117419481277,0.009121073875576258
6100,0.07384918630123138,0.009261157363653183
6200,0.07706655561923981,0.009526402689516544
6300,0.07789803296327591,0.009193131932988763
6400,0.07657494395971298,0.009110124316066504
6500,0.08893771469593048,0.011012983741238713
6600,0.08278623968362808,0.010366919450461864
6700,0.0767289325594902,0.00946978572756052
6800,0.07464028894901276,0.009603459388017654
6900,0.07650820910930634,0.010254455963149667
7000,0.07608342915773392,0.009822271764278412
7100,0.08304551988840103,0.009298623306676745
7200,0.07697906345129013,0.007942299358546734
7300,0.0753975436091423,0.007999237161129713
7400,0.08578424155712128,0.01001287018880248
7500,0.07687105238437653,0.0088439357932657
7600,0.07605674117803574,0.009345777565613389
7700,0.07768477499485016,0.008462659548968077
7800,0.0737837627530098,0.009043991449289024
7900,0.07293935865163803,0.008974297204986215
8000,0.08404158055782318,0.010657105129212141
8100,0.07830389589071274,0.009100889670662582
8200,0.0728582963347435,0.008295785752125084
8300,0.07329332828521729,0.007827465422451496
8400,0.0765596479177475,0.00825483025982976
8500,0.07467596232891083,0.007606488885357976
8600,0.07371240109205246,0.007157004321925342
8700,0.08360590785741806,0.008757381583563983
8800,0.07214426249265671,0.007757330662570894
8900,0.07184847444295883,0.00786783080548048
9000,0.07372497767210007,0.00779187714215368
9100,0.07407490909099579,0.007656253641471267
9200,0.0720655769109726,0.007145793293602765
9300,0.07224521785974503,0.007046369835734367
9400,0.07066480815410614,0.0079883080907166
9500,0.07210133224725723,0.007210776791907847
9600,0.06936456263065338,0.006923732813447714
9700,0.06664829701185226,0.0065522860968485475
9800,0.06597008556127548,0.006467954255640507
9900,0.06682896614074707,0.006066251313313842
10000,0.06800064444541931,0.0066761146299541
10100,0.06508593261241913,0.006566517171449959
10200,0.07076196372509003,0.007464122259989381
10300,0.0684984102845192,0.0070987957296893
10400,0.06514579057693481,0.006080198450945318
10500,0.06602631509304047,0.0064525698544457555
10600,0.06144072115421295,0.0062468856340274215
10700,0.06646877527236938,0.007512488286010921
10800,0.06333379447460175,0.006469777086749673
10900,0.06082167103886604,0.005887935985811055
11000,0.06157658249139786,0.005511811352334917
11100,0.06035527586936951,0.0054627780336886644
11200,0.057922348380088806,0.004914664546959102
11300,0.06545893102884293,0.006116910022683442
11400,0.06408680975437164,0.006063485168851912
11500,0.059525907039642334,0.0057694760616868734
11600,0.06265472620725632,0.005662419134750962
11700,0.0614248551428318,0.005882423254661262
11800,0.05975864455103874,0.005929208709858358
11900,0.057946860790252686,0.004955678712576628
12000,0.05849737301468849,0.005537316435948014
